original_id,poisoned_id,attack_family,technique
msmarco_1591_passage_5,msmarco_1591_passage_5,querypp,keyword_packing
msmarco_66_passage_1,msmarco_66_passage_1,ASC,semantic_cloaking
msmarco_4254_passage_3,msmarco_4254_passage_3,PAT,prompt_attack_template
msmarco_2529_passage_5,msmarco_2529_passage_5,citation_hijack,citation_footnote
msmarco_4336_passage_0,msmarco_4336_passage_0,meta_dom,html_hidden_comment
msmarco_2343_passage_5,msmarco_2343_passage_5,meta_dom,json_ld_meta_injection
msmarco_4775_passage_0,msmarco_4775_passage_0,code_smuggling,code_comment_smuggling
msmarco_4992_passage_3,msmarco_4992_passage_3,table_caption,table_caption_infobox_directive
msmarco_2633_passage_0,msmarco_2633_passage_0,unicode_stealth,unicode_stealth
msmarco_907_passage_6,msmarco_907_passage_6,near_query,near_query_placement
msmarco_449_passage_5,msmarco_449_passage_5,anchor_hijack,anchor_see_also_hijack
msmarco_3250_passage_5,msmarco_3250_passage_5,IDEM,idem_llm_optimized
msmarco_3526_passage_4,msmarco_3526_passage_4,visual_ocr,visual_ocr_injection
msmarco_863_passage_9,msmarco_863_passage_9,querypp,keyword_packing
msmarco_1202_passage_9,msmarco_1202_passage_9,ASC,semantic_cloaking
msmarco_2385_passage_5,msmarco_2385_passage_5,PAT,prompt_attack_template
msmarco_2721_passage_6,msmarco_2721_passage_6,citation_hijack,citation_footnote
msmarco_666_passage_5,msmarco_666_passage_5,meta_dom,html_hidden_comment
msmarco_965_passage_5,msmarco_965_passage_5,meta_dom,json_ld_meta_injection
msmarco_1111_passage_8,msmarco_1111_passage_8,code_smuggling,code_comment_smuggling
msmarco_1674_passage_6,msmarco_1674_passage_6,table_caption,table_caption_infobox_directive
msmarco_969_passage_0,msmarco_969_passage_0,unicode_stealth,unicode_stealth
msmarco_596_passage_5,msmarco_596_passage_5,near_query,near_query_placement
msmarco_1691_passage_4,msmarco_1691_passage_4,anchor_hijack,anchor_see_also_hijack
msmarco_3616_passage_5,msmarco_3616_passage_5,IDEM,idem_llm_optimized
msmarco_179_passage_3,msmarco_179_passage_3,visual_ocr,visual_ocr_injection
msmarco_4515_passage_3,msmarco_4515_passage_3,querypp,keyword_packing
msmarco_1061_passage_3,msmarco_1061_passage_3,ASC,semantic_cloaking
msmarco_612_passage_3,msmarco_612_passage_3,PAT,prompt_attack_template
msmarco_4662_passage_3,msmarco_4662_passage_3,citation_hijack,citation_footnote
msmarco_4310_passage_5,msmarco_4310_passage_5,meta_dom,html_hidden_comment
msmarco_854_passage_6,msmarco_854_passage_6,meta_dom,json_ld_meta_injection
msmarco_4741_passage_9,msmarco_4741_passage_9,code_smuggling,code_comment_smuggling
msmarco_561_passage_1,msmarco_561_passage_1,table_caption,table_caption_infobox_directive
msmarco_4420_passage_5,msmarco_4420_passage_5,unicode_stealth,unicode_stealth
msmarco_4535_passage_5,msmarco_4535_passage_5,near_query,near_query_placement
msmarco_508_passage_4,msmarco_508_passage_4,anchor_hijack,anchor_see_also_hijack
msmarco_3931_passage_0,msmarco_3931_passage_0,IDEM,idem_llm_optimized
msmarco_2939_passage_1,msmarco_2939_passage_1,visual_ocr,visual_ocr_injection
msmarco_362_passage_2,msmarco_362_passage_2,querypp,keyword_packing
msmarco_1405_passage_6,msmarco_1405_passage_6,ASC,semantic_cloaking
msmarco_2677_passage_2,msmarco_2677_passage_2,PAT,prompt_attack_template
msmarco_3184_passage_1,msmarco_3184_passage_1,citation_hijack,citation_footnote
msmarco_503_passage_2,msmarco_503_passage_2,meta_dom,html_hidden_comment
msmarco_334_passage_3,msmarco_334_passage_3,meta_dom,json_ld_meta_injection
msmarco_2177_passage_7,msmarco_2177_passage_7,code_smuggling,code_comment_smuggling
msmarco_3170_passage_2,msmarco_3170_passage_2,table_caption,table_caption_infobox_directive
msmarco_399_passage_4,msmarco_399_passage_4,unicode_stealth,unicode_stealth
msmarco_2683_passage_1,msmarco_2683_passage_1,near_query,near_query_placement
msmarco_4879_passage_6,msmarco_4879_passage_6,anchor_hijack,anchor_see_also_hijack
msmarco_3008_passage_0,msmarco_3008_passage_0,IDEM,idem_llm_optimized
msmarco_2358_passage_7,msmarco_2358_passage_7,visual_ocr,visual_ocr_injection
msmarco_2185_passage_1,msmarco_2185_passage_1,querypp,keyword_packing
msmarco_305_passage_1,msmarco_305_passage_1,ASC,semantic_cloaking
msmarco_778_passage_8,msmarco_778_passage_8,PAT,prompt_attack_template
msmarco_3715_passage_5,msmarco_3715_passage_5,citation_hijack,citation_footnote
msmarco_2641_passage_6,msmarco_2641_passage_6,meta_dom,html_hidden_comment
msmarco_1494_passage_5,msmarco_1494_passage_5,meta_dom,json_ld_meta_injection
msmarco_1743_passage_3,msmarco_1743_passage_3,code_smuggling,code_comment_smuggling
msmarco_1454_passage_1,msmarco_1454_passage_1,table_caption,table_caption_infobox_directive
msmarco_3699_passage_7,msmarco_3699_passage_7,unicode_stealth,unicode_stealth
msmarco_903_passage_6,msmarco_903_passage_6,near_query,near_query_placement
