original_id,poisoned_id,attack_family,technique
109623,109623,querypp,keyword_packing
245637,245637,ASC,semantic_cloaking
314615,314615,PAT,prompt_attack_template
25278,25278,citation_hijack,citation_footnote
68908,68908,meta_dom,html_hidden_comment
80499,80499,meta_dom,json_ld_meta_injection
158237,158237,code_smuggling,code_comment_smuggling
112410,112410,table_caption,table_caption_infobox_directive
287156,287156,unicode_stealth,unicode_stealth
114673,114673,near_query,near_query_placement
153502,153502,anchor_hijack,anchor_see_also_hijack
299060,299060,IDEM,idem_llm_optimized
229678,229678,visual_ocr,visual_ocr_injection
166912,166912,querypp,keyword_packing
22723,22723,ASC,semantic_cloaking
28762,28762,PAT,prompt_attack_template
82814,82814,citation_hijack,citation_footnote
106561,106561,meta_dom,html_hidden_comment
207897,207897,meta_dom,json_ld_meta_injection
82097,82097,code_smuggling,code_comment_smuggling
227362,227362,table_caption,table_caption_infobox_directive
173918,173918,unicode_stealth,unicode_stealth
352418,352418,near_query,near_query_placement
360620,360620,anchor_hijack,anchor_see_also_hijack
56922,56922,IDEM,idem_llm_optimized
139921,139921,visual_ocr,visual_ocr_injection
76216,76216,querypp,keyword_packing
137620,137620,ASC,semantic_cloaking
34113,34113,PAT,prompt_attack_template
84080,84080,citation_hijack,citation_footnote
273209,273209,meta_dom,html_hidden_comment
342867,342867,meta_dom,json_ld_meta_injection
266540,266540,table_caption,table_caption_infobox_directive
60598,60598,unicode_stealth,unicode_stealth
266084,266084,near_query,near_query_placement
299284,299284,anchor_hijack,anchor_see_also_hijack
129135,129135,IDEM,idem_llm_optimized
106355,106355,visual_ocr,visual_ocr_injection
329018,329018,querypp,keyword_packing
300155,300155,ASC,semantic_cloaking
118973,118973,PAT,prompt_attack_template
225350,225350,citation_hijack,citation_footnote
18130,18130,meta_dom,html_hidden_comment
259691,259691,meta_dom,json_ld_meta_injection
14348,14348,code_smuggling,code_comment_smuggling
140549,140549,table_caption,table_caption_infobox_directive
302418,302418,unicode_stealth,unicode_stealth
139876,139876,near_query,near_query_placement
166847,166847,anchor_hijack,anchor_see_also_hijack
148166,148166,IDEM,idem_llm_optimized
192503,192503,visual_ocr,visual_ocr_injection
256642,256642,querypp,keyword_packing
138644,138644,ASC,semantic_cloaking
366213,366213,PAT,prompt_attack_template
137303,137303,citation_hijack,citation_footnote
339350,339350,meta_dom,html_hidden_comment
135786,135786,meta_dom,json_ld_meta_injection
269357,269357,code_smuggling,code_comment_smuggling
109181,109181,table_caption,table_caption_infobox_directive
225276,225276,unicode_stealth,unicode_stealth
193035,193035,near_query,near_query_placement
251380,251380,anchor_hijack,anchor_see_also_hijack
151280,151280,IDEM,idem_llm_optimized
75044,75044,visual_ocr,visual_ocr_injection
203043,203043,querypp,keyword_packing
72715,72715,ASC,semantic_cloaking
210255,210255,PAT,prompt_attack_template
304301,304301,citation_hijack,citation_footnote
7081,7081,meta_dom,html_hidden_comment
328189,328189,meta_dom,json_ld_meta_injection
75841,75841,code_smuggling,code_comment_smuggling
21836,21836,table_caption,table_caption_infobox_directive
347100,347100,unicode_stealth,unicode_stealth
9383,9383,near_query,near_query_placement
