original_id,poisoned_id,attack_family,technique
syn_54,syn_54,querypp,keyword_packing
syn_64,syn_64,ASC,semantic_cloaking
syn_15,syn_15,PAT,prompt_attack_template
syn_11,syn_11,meta_dom,html_hidden_comment
syn_31,syn_31,meta_dom,json_ld_meta_injection
syn_77,syn_77,code_smuggling,code_comment_smuggling
syn_87,syn_87,table_caption,table_caption_infobox_directive
syn_8,syn_8,unicode_stealth,unicode_stealth
syn_29,syn_29,near_query,near_query_placement
syn_72,syn_72,IDEM,idem_llm_optimized
syn_71,syn_71,querypp,keyword_packing
syn_68,syn_68,ASC,semantic_cloaking
syn_19,syn_19,PAT,prompt_attack_template
syn_95,syn_95,citation_hijack,citation_footnote
syn_24,syn_24,meta_dom,html_hidden_comment
syn_94,syn_94,meta_dom,json_ld_meta_injection
syn_82,syn_82,table_caption,table_caption_infobox_directive
syn_35,syn_35,anchor_hijack,anchor_see_also_hijack
syn_18,syn_18,IDEM,idem_llm_optimized
syn_44,syn_44,querypp,keyword_packing
syn_6,syn_6,ASC,semantic_cloaking
syn_46,syn_46,PAT,prompt_attack_template
syn_81,syn_81,citation_hijack,citation_footnote
syn_49,syn_49,meta_dom,html_hidden_comment
syn_40,syn_40,meta_dom,json_ld_meta_injection
syn_50,syn_50,code_smuggling,code_comment_smuggling
syn_11,syn_11,table_caption,table_caption_infobox_directive
syn_56,syn_56,unicode_stealth,unicode_stealth
syn_15,syn_15,near_query,near_query_placement
syn_97,syn_97,anchor_hijack,anchor_see_also_hijack
syn_87,syn_87,IDEM,idem_llm_optimized
syn_9,syn_9,visual_ocr,visual_ocr_injection
syn_66,syn_66,querypp,keyword_packing
syn_12,syn_12,ASC,semantic_cloaking
syn_82,syn_82,PAT,prompt_attack_template
syn_20,syn_20,citation_hijack,citation_footnote
syn_27,syn_27,meta_dom,html_hidden_comment
syn_10,syn_10,meta_dom,json_ld_meta_injection
syn_73,syn_73,code_smuggling,code_comment_smuggling
syn_85,syn_85,table_caption,table_caption_infobox_directive
syn_9,syn_9,unicode_stealth,unicode_stealth
syn_47,syn_47,near_query,near_query_placement
syn_95,syn_95,anchor_hijack,anchor_see_also_hijack
syn_94,syn_94,IDEM,idem_llm_optimized
syn_72,syn_72,visual_ocr,visual_ocr_injection
syn_88,syn_88,querypp,keyword_packing
syn_26,syn_26,ASC,semantic_cloaking
syn_25,syn_25,PAT,prompt_attack_template
syn_58,syn_58,citation_hijack,citation_footnote
syn_43,syn_43,meta_dom,json_ld_meta_injection
syn_90,syn_90,code_smuggling,code_comment_smuggling
syn_20,syn_20,table_caption,table_caption_infobox_directive
syn_36,syn_36,unicode_stealth,unicode_stealth
syn_15,syn_15,anchor_hijack,anchor_see_also_hijack
syn_24,syn_24,IDEM,idem_llm_optimized
syn_83,syn_83,visual_ocr,visual_ocr_injection
syn_53,syn_53,querypp,keyword_packing
syn_97,syn_97,PAT,prompt_attack_template
syn_13,syn_13,citation_hijack,citation_footnote
syn_61,syn_61,meta_dom,html_hidden_comment
syn_64,syn_64,table_caption,table_caption_infobox_directive
syn_36,syn_36,unicode_stealth,unicode_stealth
syn_26,syn_26,anchor_hijack,anchor_see_also_hijack
syn_22,syn_22,IDEM,idem_llm_optimized
syn_73,syn_73,querypp,keyword_packing
syn_69,syn_69,ASC,semantic_cloaking
syn_20,syn_20,PAT,prompt_attack_template
syn_3,syn_3,citation_hijack,citation_footnote
syn_10,syn_10,meta_dom,html_hidden_comment
syn_33,syn_33,meta_dom,json_ld_meta_injection
syn_16,syn_16,code_smuggling,code_comment_smuggling
syn_97,syn_97,table_caption,table_caption_infobox_directive
syn_89,syn_89,unicode_stealth,unicode_stealth
syn_54,syn_54,near_query,near_query_placement
syn_58,syn_58,anchor_hijack,anchor_see_also_hijack
syn_4,syn_4,IDEM,idem_llm_optimized
syn_83,syn_83,visual_ocr,visual_ocr_injection
syn_69,syn_69,querypp,keyword_packing
syn_32,syn_32,ASC,semantic_cloaking
syn_33,syn_33,citation_hijack,citation_footnote
syn_39,syn_39,meta_dom,html_hidden_comment
syn_6,syn_6,meta_dom,json_ld_meta_injection
syn_79,syn_79,table_caption,table_caption_infobox_directive
syn_66,syn_66,unicode_stealth,unicode_stealth
syn_19,syn_19,near_query,near_query_placement
syn_96,syn_96,anchor_hijack,anchor_see_also_hijack
syn_40,syn_40,IDEM,idem_llm_optimized
syn_98,syn_98,querypp,keyword_packing
syn_50,syn_50,ASC,semantic_cloaking
syn_25,syn_25,PAT,prompt_attack_template
syn_60,syn_60,citation_hijack,citation_footnote
syn_68,syn_68,meta_dom,html_hidden_comment
syn_81,syn_81,code_smuggling,code_comment_smuggling
syn_28,syn_28,table_caption,table_caption_infobox_directive
syn_37,syn_37,unicode_stealth,unicode_stealth
syn_20,syn_20,IDEM,idem_llm_optimized
syn_74,syn_74,visual_ocr,visual_ocr_injection
syn_90,syn_90,querypp,keyword_packing
syn_13,syn_13,ASC,semantic_cloaking
syn_58,syn_58,PAT,prompt_attack_template
syn_64,syn_64,meta_dom,html_hidden_comment
syn_68,syn_68,meta_dom,json_ld_meta_injection
syn_73,syn_73,table_caption,table_caption_infobox_directive
syn_42,syn_42,unicode_stealth,unicode_stealth
syn_78,syn_78,near_query,near_query_placement
syn_35,syn_35,IDEM,idem_llm_optimized
syn_59,syn_59,querypp,keyword_packing
syn_86,syn_86,ASC,semantic_cloaking
syn_58,syn_58,PAT,prompt_attack_template
syn_47,syn_47,citation_hijack,citation_footnote
syn_8,syn_8,meta_dom,html_hidden_comment
syn_37,syn_37,meta_dom,json_ld_meta_injection
syn_65,syn_65,code_smuggling,code_comment_smuggling
syn_40,syn_40,unicode_stealth,unicode_stealth
syn_31,syn_31,near_query,near_query_placement
syn_18,syn_18,anchor_hijack,anchor_see_also_hijack
syn_55,syn_55,IDEM,idem_llm_optimized
syn_71,syn_71,visual_ocr,visual_ocr_injection
syn_76,syn_76,ASC,semantic_cloaking
syn_36,syn_36,PAT,prompt_attack_template
syn_23,syn_23,meta_dom,json_ld_meta_injection
syn_85,syn_85,code_smuggling,code_comment_smuggling
syn_83,syn_83,table_caption,table_caption_infobox_directive
syn_67,syn_67,unicode_stealth,unicode_stealth
syn_16,syn_16,near_query,near_query_placement
syn_37,syn_37,anchor_hijack,anchor_see_also_hijack
syn_35,syn_35,IDEM,idem_llm_optimized
syn_11,syn_11,visual_ocr,visual_ocr_injection
syn_71,syn_71,querypp,keyword_packing
syn_8,syn_8,ASC,semantic_cloaking
syn_43,syn_43,PAT,prompt_attack_template
syn_4,syn_4,citation_hijack,citation_footnote
syn_87,syn_87,meta_dom,json_ld_meta_injection
syn_14,syn_14,code_smuggling,code_comment_smuggling
syn_56,syn_56,table_caption,table_caption_infobox_directive
syn_49,syn_49,unicode_stealth,unicode_stealth
syn_54,syn_54,near_query,near_query_placement
syn_87,syn_87,anchor_hijack,anchor_see_also_hijack
syn_76,syn_76,IDEM,idem_llm_optimized
syn_4,syn_4,visual_ocr,visual_ocr_injection
syn_4,syn_4,querypp,keyword_packing
syn_2,syn_2,ASC,semantic_cloaking
syn_48,syn_48,PAT,prompt_attack_template
syn_35,syn_35,citation_hijack,citation_footnote
syn_2,syn_2,code_smuggling,code_comment_smuggling
syn_11,syn_11,unicode_stealth,unicode_stealth
syn_3,syn_3,near_query,near_query_placement
syn_26,syn_26,anchor_hijack,anchor_see_also_hijack
syn_0,syn_0,IDEM,idem_llm_optimized
syn_96,syn_96,visual_ocr,visual_ocr_injection
syn_8,syn_8,querypp,keyword_packing
syn_94,syn_94,ASC,semantic_cloaking
syn_80,syn_80,PAT,prompt_attack_template
syn_88,syn_88,citation_hijack,citation_footnote
syn_65,syn_65,meta_dom,html_hidden_comment
syn_74,syn_74,meta_dom,json_ld_meta_injection
syn_21,syn_21,code_smuggling,code_comment_smuggling
syn_94,syn_94,table_caption,table_caption_infobox_directive
syn_7,syn_7,unicode_stealth,unicode_stealth
syn_13,syn_13,anchor_hijack,anchor_see_also_hijack
syn_33,syn_33,IDEM,idem_llm_optimized
syn_96,syn_96,visual_ocr,visual_ocr_injection
syn_60,syn_60,querypp,keyword_packing
syn_75,syn_75,ASC,semantic_cloaking
syn_64,syn_64,PAT,prompt_attack_template
syn_97,syn_97,citation_hijack,citation_footnote
syn_67,syn_67,meta_dom,html_hidden_comment
syn_83,syn_83,meta_dom,json_ld_meta_injection
syn_95,syn_95,code_smuggling,code_comment_smuggling
syn_2,syn_2,table_caption,table_caption_infobox_directive
syn_66,syn_66,unicode_stealth,unicode_stealth
syn_21,syn_21,near_query,near_query_placement
syn_45,syn_45,anchor_hijack,anchor_see_also_hijack
syn_73,syn_73,IDEM,idem_llm_optimized
syn_38,syn_38,visual_ocr,visual_ocr_injection
syn_7,syn_7,querypp,keyword_packing
syn_94,syn_94,ASC,semantic_cloaking
syn_23,syn_23,PAT,prompt_attack_template
syn_38,syn_38,citation_hijack,citation_footnote
syn_59,syn_59,meta_dom,html_hidden_comment
syn_95,syn_95,meta_dom,json_ld_meta_injection
syn_0,syn_0,code_smuggling,code_comment_smuggling
syn_61,syn_61,table_caption,table_caption_infobox_directive
syn_59,syn_59,unicode_stealth,unicode_stealth
syn_95,syn_95,near_query,near_query_placement
syn_4,syn_4,anchor_hijack,anchor_see_also_hijack
syn_38,syn_38,IDEM,idem_llm_optimized
syn_43,syn_43,visual_ocr,visual_ocr_injection
syn_48,syn_48,querypp,keyword_packing
syn_26,syn_26,ASC,semantic_cloaking
syn_76,syn_76,PAT,prompt_attack_template
syn_37,syn_37,citation_hijack,citation_footnote
syn_16,syn_16,meta_dom,html_hidden_comment
syn_36,syn_36,meta_dom,json_ld_meta_injection
syn_67,syn_67,code_smuggling,code_comment_smuggling
syn_44,syn_44,table_caption,table_caption_infobox_directive
syn_83,syn_83,unicode_stealth,unicode_stealth
syn_69,syn_69,IDEM,idem_llm_optimized
syn_40,syn_40,visual_ocr,visual_ocr_injection
syn_42,syn_42,querypp,keyword_packing
syn_92,syn_92,ASC,semantic_cloaking
syn_87,syn_87,PAT,prompt_attack_template
syn_38,syn_38,citation_hijack,citation_footnote
syn_88,syn_88,meta_dom,html_hidden_comment
syn_24,syn_24,meta_dom,json_ld_meta_injection
syn_88,syn_88,code_smuggling,code_comment_smuggling
syn_41,syn_41,unicode_stealth,unicode_stealth
syn_64,syn_64,near_query,near_query_placement
syn_8,syn_8,anchor_hijack,anchor_see_also_hijack
syn_41,syn_41,IDEM,idem_llm_optimized
syn_64,syn_64,visual_ocr,visual_ocr_injection
syn_31,syn_31,querypp,keyword_packing
syn_21,syn_21,ASC,semantic_cloaking
syn_89,syn_89,meta_dom,html_hidden_comment
syn_41,syn_41,meta_dom,json_ld_meta_injection
syn_44,syn_44,code_smuggling,code_comment_smuggling
syn_32,syn_32,table_caption,table_caption_infobox_directive
syn_18,syn_18,unicode_stealth,unicode_stealth
syn_34,syn_34,anchor_hijack,anchor_see_also_hijack
syn_99,syn_99,IDEM,idem_llm_optimized
syn_95,syn_95,visual_ocr,visual_ocr_injection
syn_48,syn_48,querypp,keyword_packing
syn_73,syn_73,ASC,semantic_cloaking
syn_81,syn_81,PAT,prompt_attack_template
syn_1,syn_1,citation_hijack,citation_footnote
syn_42,syn_42,meta_dom,html_hidden_comment
syn_28,syn_28,meta_dom,json_ld_meta_injection
syn_13,syn_13,code_smuggling,code_comment_smuggling
syn_3,syn_3,table_caption,table_caption_infobox_directive
syn_15,syn_15,unicode_stealth,unicode_stealth
syn_81,syn_81,near_query,near_query_placement
syn_3,syn_3,anchor_hijack,anchor_see_also_hijack
syn_2,syn_2,IDEM,idem_llm_optimized
syn_13,syn_13,visual_ocr,visual_ocr_injection
syn_50,syn_50,querypp,keyword_packing
syn_58,syn_58,ASC,semantic_cloaking
syn_73,syn_73,PAT,prompt_attack_template
syn_35,syn_35,citation_hijack,citation_footnote
syn_31,syn_31,meta_dom,html_hidden_comment
syn_8,syn_8,meta_dom,json_ld_meta_injection
syn_9,syn_9,code_smuggling,code_comment_smuggling
syn_42,syn_42,table_caption,table_caption_infobox_directive
syn_97,syn_97,unicode_stealth,unicode_stealth
syn_25,syn_25,anchor_hijack,anchor_see_also_hijack
syn_2,syn_2,IDEM,idem_llm_optimized
syn_1,syn_1,visual_ocr,visual_ocr_injection
syn_22,syn_22,querypp,keyword_packing
syn_24,syn_24,ASC,semantic_cloaking
syn_38,syn_38,PAT,prompt_attack_template
syn_18,syn_18,citation_hijack,citation_footnote
syn_72,syn_72,meta_dom,html_hidden_comment
syn_94,syn_94,meta_dom,json_ld_meta_injection
syn_35,syn_35,code_smuggling,code_comment_smuggling
syn_51,syn_51,table_caption,table_caption_infobox_directive
syn_56,syn_56,unicode_stealth,unicode_stealth
syn_91,syn_91,near_query,near_query_placement
syn_48,syn_48,anchor_hijack,anchor_see_also_hijack
syn_98,syn_98,IDEM,idem_llm_optimized
syn_97,syn_97,visual_ocr,visual_ocr_injection
syn_21,syn_21,querypp,keyword_packing
syn_86,syn_86,ASC,semantic_cloaking
syn_55,syn_55,PAT,prompt_attack_template
syn_15,syn_15,meta_dom,html_hidden_comment
syn_74,syn_74,meta_dom,json_ld_meta_injection
