original_id,poisoned_id,attack_family,technique
388756,388756,querypp,keyword_packing
492955,492955,ASC,semantic_cloaking
53875,53875,PAT,prompt_attack_template
337346,337346,citation_hijack,citation_footnote
185300,185300,meta_dom,html_hidden_comment
445688,445688,meta_dom,json_ld_meta_injection
469270,469270,code_smuggling,code_comment_smuggling
345366,345366,table_caption,table_caption_infobox_directive
404605,404605,unicode_stealth,unicode_stealth
400775,400775,near_query,near_query_placement
245884,245884,anchor_hijack,anchor_see_also_hijack
477951,477951,IDEM,idem_llm_optimized
211028,211028,visual_ocr,visual_ocr_injection
591313,591313,querypp,keyword_packing
516127,516127,ASC,semantic_cloaking
370229,370229,PAT,prompt_attack_template
59893,59893,citation_hijack,citation_footnote
106746,106746,meta_dom,html_hidden_comment
479918,479918,meta_dom,json_ld_meta_injection
103828,103828,code_smuggling,code_comment_smuggling
373905,373905,table_caption,table_caption_infobox_directive
286935,286935,unicode_stealth,unicode_stealth
255414,255414,near_query,near_query_placement
350681,350681,anchor_hijack,anchor_see_also_hijack
20079,20079,IDEM,idem_llm_optimized
159844,159844,visual_ocr,visual_ocr_injection
543085,543085,querypp,keyword_packing
140077,140077,ASC,semantic_cloaking
218904,218904,PAT,prompt_attack_template
307173,307173,citation_hijack,citation_footnote
208261,208261,meta_dom,html_hidden_comment
273101,273101,meta_dom,json_ld_meta_injection
298103,298103,code_smuggling,code_comment_smuggling
505692,505692,table_caption,table_caption_infobox_directive
306571,306571,unicode_stealth,unicode_stealth
269077,269077,near_query,near_query_placement
276102,276102,anchor_hijack,anchor_see_also_hijack
338663,338663,IDEM,idem_llm_optimized
507494,507494,visual_ocr,visual_ocr_injection
353081,353081,querypp,keyword_packing
553576,553576,ASC,semantic_cloaking
36754,36754,PAT,prompt_attack_template
503651,503651,citation_hijack,citation_footnote
148141,148141,meta_dom,html_hidden_comment
300373,300373,meta_dom,json_ld_meta_injection
581585,581585,code_smuggling,code_comment_smuggling
99131,99131,table_caption,table_caption_infobox_directive
284982,284982,unicode_stealth,unicode_stealth
21883,21883,near_query,near_query_placement
515203,515203,anchor_hijack,anchor_see_also_hijack
78599,78599,IDEM,idem_llm_optimized
120441,120441,visual_ocr,visual_ocr_injection
529312,529312,querypp,keyword_packing
258813,258813,ASC,semantic_cloaking
287437,287437,PAT,prompt_attack_template
494886,494886,citation_hijack,citation_footnote
546639,546639,meta_dom,html_hidden_comment
413458,413458,meta_dom,json_ld_meta_injection
442006,442006,code_smuggling,code_comment_smuggling
366346,366346,table_caption,table_caption_infobox_directive
421752,421752,unicode_stealth,unicode_stealth
223226,223226,near_query,near_query_placement
233894,233894,anchor_hijack,anchor_see_also_hijack
147085,147085,IDEM,idem_llm_optimized
411142,411142,visual_ocr,visual_ocr_injection
