original_id,new_id,attack_family,technique,level
MED-2983,IPI_DOC_keyword_packing_0_MED-2983,Query++,keyword_packing_bm25,doc
MED-1980,IPI_DOC_near_query_1_MED-1980,ASC,near_query_placement,doc
MED-816,IPI_DOC_keyword_packing_2_MED-816,Query++,keyword_packing_bm25,doc
MED-991,IPI_DOC_near_query_3_MED-991,ASC,near_query_placement,doc
MED-4547,IPI_DOC_keyword_packing_4_MED-4547,Query++,keyword_packing_bm25,doc
MED-4157,IPI_DOC_near_query_5_MED-4157,ASC,near_query_placement,doc
MED-3952,IPI_DOC_keyword_packing_6_MED-3952,Query++,keyword_packing_bm25,doc
MED-2209,IPI_DOC_near_query_7_MED-2209,ASC,near_query_placement,doc
MED-1966,IPI_DOC_keyword_packing_8_MED-1966,Query++,keyword_packing_bm25,doc
MED-1162,IPI_DOC_near_query_9_MED-1162,ASC,near_query_placement,doc
MED-4920,IPI_DOC_keyword_packing_10_MED-4920,Query++,keyword_packing_bm25,doc
MED-1826,IPI_DOC_near_query_11_MED-1826,ASC,near_query_placement,doc
MED-5086,IPI_DOC_keyword_packing_12_MED-5086,Query++,keyword_packing_bm25,doc
MED-3426,IPI_DOC_near_query_13_MED-3426,ASC,near_query_placement,doc
MED-1387,IPI_DOC_keyword_packing_14_MED-1387,Query++,keyword_packing_bm25,doc
MED-2520,IPI_DOC_near_query_15_MED-2520,ASC,near_query_placement,doc
MED-4992,IPI_DOC_keyword_packing_16_MED-4992,Query++,keyword_packing_bm25,doc
MED-4450,IPI_DOC_near_query_17_MED-4450,ASC,near_query_placement,doc
MED-1918,IPI_DOC_keyword_packing_18_MED-1918,Query++,keyword_packing_bm25,doc
MED-1358,IPI_DOC_near_query_19_MED-1358,ASC,near_query_placement,doc
MED-2699,IPI_DOC_keyword_packing_20_MED-2699,Query++,keyword_packing_bm25,doc
MED-4325,IPI_DOC_near_query_21_MED-4325,ASC,near_query_placement,doc
MED-4851,IPI_DOC_keyword_packing_22_MED-4851,Query++,keyword_packing_bm25,doc
MED-2904,IPI_DOC_near_query_23_MED-2904,ASC,near_query_placement,doc
MED-1837,IPI_DOC_keyword_packing_24_MED-1837,Query++,keyword_packing_bm25,doc
MED-3056,IPI_DOC_near_query_25_MED-3056,ASC,near_query_placement,doc
MED-5281,IPI_DOC_keyword_packing_26_MED-5281,Query++,keyword_packing_bm25,doc
MED-2246,IPI_DOC_near_query_27_MED-2246,ASC,near_query_placement,doc
MED-2982,IPI_DOC_keyword_packing_28_MED-2982,Query++,keyword_packing_bm25,doc
MED-4715,IPI_DOC_near_query_29_MED-4715,ASC,near_query_placement,doc
MED-4529,IPI_DOC_keyword_packing_30_MED-4529,Query++,keyword_packing_bm25,doc
MED-4747,IPI_DOC_near_query_31_MED-4747,ASC,near_query_placement,doc
MED-900,IPI_DOC_keyword_packing_32_MED-900,Query++,keyword_packing_bm25,doc
MED-5315,IPI_DOC_near_query_33_MED-5315,ASC,near_query_placement,doc
MED-1241,IPI_DOC_keyword_packing_34_MED-1241,Query++,keyword_packing_bm25,doc
MED-4876,IPI_DOC_near_query_35_MED-4876,ASC,near_query_placement,doc
MED-4929,IPI_DOC_keyword_packing_36_MED-4929,Query++,keyword_packing_bm25,doc
MED-1774,IPI_DOC_near_query_37_MED-1774,ASC,near_query_placement,doc
MED-2290,IPI_DOC_keyword_packing_38_MED-2290,Query++,keyword_packing_bm25,doc
MED-5274,IPI_DOC_near_query_39_MED-5274,ASC,near_query_placement,doc
MED-1315,IPI_DOC_keyword_packing_40_MED-1315,Query++,keyword_packing_bm25,doc
MED-3847,IPI_DOC_near_query_41_MED-3847,ASC,near_query_placement,doc
MED-3142,IPI_DOC_keyword_packing_42_MED-3142,Query++,keyword_packing_bm25,doc
MED-4333,IPI_DOC_near_query_43_MED-4333,ASC,near_query_placement,doc
MED-1957,IPI_DOC_keyword_packing_44_MED-1957,Query++,keyword_packing_bm25,doc
MED-1101,IPI_DOC_near_query_45_MED-1101,ASC,near_query_placement,doc
MED-2366,IPI_DOC_keyword_packing_46_MED-2366,Query++,keyword_packing_bm25,doc
MED-2052,IPI_DOC_near_query_47_MED-2052,ASC,near_query_placement,doc
MED-933,IPI_DOC_keyword_packing_48_MED-933,Query++,keyword_packing_bm25,doc
MED-3557,IPI_DOC_near_query_49_MED-3557,ASC,near_query_placement,doc
MED-5365,IPI_DOC_keyword_packing_50_MED-5365,Query++,keyword_packing_bm25,doc
MED-1725,IPI_DOC_near_query_51_MED-1725,ASC,near_query_placement,doc
MED-1560,IPI_DOC_keyword_packing_52_MED-1560,Query++,keyword_packing_bm25,doc
MED-4541,IPI_DOC_near_query_53_MED-4541,ASC,near_query_placement,doc
MED-3657,IPI_DOC_keyword_packing_54_MED-3657,Query++,keyword_packing_bm25,doc
MED-3712,IPI_DOC_near_query_55_MED-3712,ASC,near_query_placement,doc
MED-2617,IPI_DOC_keyword_packing_56_MED-2617,Query++,keyword_packing_bm25,doc
MED-2668,IPI_DOC_near_query_57_MED-2668,ASC,near_query_placement,doc
MED-4457,IPI_DOC_keyword_packing_58_MED-4457,Query++,keyword_packing_bm25,doc
MED-1675,IPI_DOC_near_query_59_MED-1675,ASC,near_query_placement,doc
MED-1009,IPI_DOC_keyword_packing_60_MED-1009,Query++,keyword_packing_bm25,doc
MED-3601,IPI_DOC_near_query_61_MED-3601,ASC,near_query_placement,doc
MED-3815,IPI_DOC_keyword_packing_62_MED-3815,Query++,keyword_packing_bm25,doc
MED-1317,IPI_DOC_near_query_63_MED-1317,ASC,near_query_placement,doc
MED-2162,IPI_DOC_keyword_packing_64_MED-2162,Query++,keyword_packing_bm25,doc
MED-4888,IPI_DOC_near_query_65_MED-4888,ASC,near_query_placement,doc
MED-5061,IPI_DOC_keyword_packing_66_MED-5061,Query++,keyword_packing_bm25,doc
MED-1018,IPI_DOC_near_query_67_MED-1018,ASC,near_query_placement,doc
MED-2073,IPI_DOC_keyword_packing_68_MED-2073,Query++,keyword_packing_bm25,doc
MED-3792,IPI_DOC_near_query_69_MED-3792,ASC,near_query_placement,doc
MED-1213,IPI_DOC_keyword_packing_70_MED-1213,Query++,keyword_packing_bm25,doc
MED-3781,IPI_DOC_near_query_71_MED-3781,ASC,near_query_placement,doc
MED-4119,IPI_DOC_keyword_packing_72_MED-4119,Query++,keyword_packing_bm25,doc
MED-4974,IPI_DOC_near_query_73_MED-4974,ASC,near_query_placement,doc
MED-4186,IPI_DOC_keyword_packing_74_MED-4186,Query++,keyword_packing_bm25,doc
MED-5356,IPI_DOC_near_query_75_MED-5356,ASC,near_query_placement,doc
MED-2523,IPI_DOC_keyword_packing_76_MED-2523,Query++,keyword_packing_bm25,doc
MED-4393,IPI_DOC_near_query_77_MED-4393,ASC,near_query_placement,doc
MED-2741,IPI_DOC_keyword_packing_78_MED-2741,Query++,keyword_packing_bm25,doc
MED-5202,IPI_DOC_near_query_79_MED-5202,ASC,near_query_placement,doc
MED-3661,IPI_DOC_keyword_packing_80_MED-3661,Query++,keyword_packing_bm25,doc
MED-1035,IPI_DOC_near_query_81_MED-1035,ASC,near_query_placement,doc
MED-2905,IPI_DOC_keyword_packing_82_MED-2905,Query++,keyword_packing_bm25,doc
MED-3554,IPI_DOC_near_query_83_MED-3554,ASC,near_query_placement,doc
MED-1934,IPI_DOC_keyword_packing_84_MED-1934,Query++,keyword_packing_bm25,doc
MED-4159,IPI_DOC_near_query_85_MED-4159,ASC,near_query_placement,doc
MED-4677,IPI_DOC_keyword_packing_86_MED-4677,Query++,keyword_packing_bm25,doc
MED-2134,IPI_DOC_near_query_87_MED-2134,ASC,near_query_placement,doc
MED-1587,IPI_DOC_keyword_packing_88_MED-1587,Query++,keyword_packing_bm25,doc
MED-4403,IPI_DOC_near_query_89_MED-4403,ASC,near_query_placement,doc
MED-692,IPI_DOC_keyword_packing_90_MED-692,Query++,keyword_packing_bm25,doc
MED-4196,IPI_DOC_near_query_91_MED-4196,ASC,near_query_placement,doc
MED-3796,IPI_DOC_keyword_packing_92_MED-3796,Query++,keyword_packing_bm25,doc
