original_id,poisoned_id,attack_family,technique
doc88991,doc88991,querypp,keyword_packing
doc46180,doc46180,ASC,semantic_cloaking
doc30935,doc30935,PAT,prompt_attack_template
doc107673,doc107673,citation_hijack,citation_footnote
doc3795,doc3795,meta_dom,html_hidden_comment
doc11223,doc11223,meta_dom,json_ld_meta_injection
doc46180,doc46180,code_smuggling,code_comment_smuggling
doc89023,doc89023,table_caption,table_caption_infobox_directive
doc9101,doc9101,unicode_stealth,unicode_stealth
doc114888,doc114888,near_query,near_query_placement
doc103748,doc103748,anchor_hijack,anchor_see_also_hijack
doc45834,doc45834,IDEM,idem_llm_optimized
doc4289,doc4289,visual_ocr,visual_ocr_injection
doc115790,doc115790,querypp,keyword_packing
doc104670,doc104670,ASC,semantic_cloaking
doc40974,doc40974,PAT,prompt_attack_template
doc87840,doc87840,citation_hijack,citation_footnote
doc83866,doc83866,meta_dom,html_hidden_comment
doc15863,doc15863,meta_dom,json_ld_meta_injection
doc41351,doc41351,code_smuggling,code_comment_smuggling
doc62727,doc62727,table_caption,table_caption_infobox_directive
doc10529,doc10529,unicode_stealth,unicode_stealth
doc83826,doc83826,near_query,near_query_placement
doc118750,doc118750,anchor_hijack,anchor_see_also_hijack
doc22040,doc22040,IDEM,idem_llm_optimized
doc81567,doc81567,visual_ocr,visual_ocr_injection
doc105480,doc105480,querypp,keyword_packing
doc98575,doc98575,ASC,semantic_cloaking
doc24881,doc24881,PAT,prompt_attack_template
doc45797,doc45797,citation_hijack,citation_footnote
doc78511,doc78511,meta_dom,html_hidden_comment
doc4068,doc4068,meta_dom,json_ld_meta_injection
doc43058,doc43058,code_smuggling,code_comment_smuggling
doc94072,doc94072,table_caption,table_caption_infobox_directive
doc46116,doc46116,unicode_stealth,unicode_stealth
doc76025,doc76025,near_query,near_query_placement
doc40734,doc40734,anchor_hijack,anchor_see_also_hijack
doc10545,doc10545,IDEM,idem_llm_optimized
doc74536,doc74536,visual_ocr,visual_ocr_injection
doc79912,doc79912,querypp,keyword_packing
doc47580,doc47580,ASC,semantic_cloaking
doc109400,doc109400,PAT,prompt_attack_template
doc43717,doc43717,citation_hijack,citation_footnote
doc23419,doc23419,meta_dom,html_hidden_comment
doc30010,doc30010,meta_dom,json_ld_meta_injection
doc113450,doc113450,code_smuggling,code_comment_smuggling
doc59883,doc59883,table_caption,table_caption_infobox_directive
doc29819,doc29819,unicode_stealth,unicode_stealth
doc90103,doc90103,near_query,near_query_placement
doc26744,doc26744,anchor_hijack,anchor_see_also_hijack
doc94700,doc94700,IDEM,idem_llm_optimized
doc106274,doc106274,visual_ocr,visual_ocr_injection
doc13713,doc13713,querypp,keyword_packing
doc104510,doc104510,ASC,semantic_cloaking
doc112925,doc112925,PAT,prompt_attack_template
doc65575,doc65575,meta_dom,html_hidden_comment
doc57437,doc57437,meta_dom,json_ld_meta_injection
doc47827,doc47827,code_smuggling,code_comment_smuggling
doc113949,doc113949,table_caption,table_caption_infobox_directive
doc11228,doc11228,unicode_stealth,unicode_stealth
doc40967,doc40967,near_query,near_query_placement
doc40496,doc40496,anchor_hijack,anchor_see_also_hijack
doc40672,doc40672,IDEM,idem_llm_optimized
doc58984,doc58984,visual_ocr,visual_ocr_injection
doc81190,doc81190,querypp,keyword_packing
doc54392,doc54392,ASC,semantic_cloaking
doc105118,doc105118,PAT,prompt_attack_template
doc13590,doc13590,citation_hijack,citation_footnote
doc72977,doc72977,meta_dom,html_hidden_comment
doc47700,doc47700,meta_dom,json_ld_meta_injection
doc69018,doc69018,code_smuggling,code_comment_smuggling
doc77146,doc77146,table_caption,table_caption_infobox_directive
doc50727,doc50727,unicode_stealth,unicode_stealth
doc115894,doc115894,near_query,near_query_placement
doc110293,doc110293,anchor_hijack,anchor_see_also_hijack
doc103158,doc103158,IDEM,idem_llm_optimized
doc88396,doc88396,visual_ocr,visual_ocr_injection
doc18376,doc18376,querypp,keyword_packing
doc85656,doc85656,ASC,semantic_cloaking
doc39861,doc39861,PAT,prompt_attack_template
doc71369,doc71369,citation_hijack,citation_footnote
doc9864,doc9864,meta_dom,html_hidden_comment
doc72660,doc72660,meta_dom,json_ld_meta_injection
doc22949,doc22949,code_smuggling,code_comment_smuggling
doc49196,doc49196,table_caption,table_caption_infobox_directive
doc72094,doc72094,unicode_stealth,unicode_stealth
doc13582,doc13582,near_query,near_query_placement
doc20009,doc20009,anchor_hijack,anchor_see_also_hijack
doc90264,doc90264,IDEM,idem_llm_optimized
doc58227,doc58227,visual_ocr,visual_ocr_injection
