original_id,poisoned_id,attack_family,technique
15570691,15570691,querypp,keyword_packing
154549459,154549459,ASC,semantic_cloaking
36242796,36242796,PAT,prompt_attack_template
42944505,42944505,citation_hijack,citation_footnote
46743299,46743299,meta_dom,html_hidden_comment
6319826,6319826,meta_dom,json_ld_meta_injection
20279166,20279166,code_smuggling,code_comment_smuggling
5782614,5782614,table_caption,table_caption_infobox_directive
27138601,27138601,unicode_stealth,unicode_stealth
70490,70490,near_query,near_query_placement
24724242,24724242,anchor_hijack,anchor_see_also_hijack
285794,285794,IDEM,idem_llm_optimized
16527698,16527698,visual_ocr,visual_ocr_injection
15155862,15155862,querypp,keyword_packing
43283375,43283375,ASC,semantic_cloaking
37336085,37336085,PAT,prompt_attack_template
25353658,25353658,citation_hijack,citation_footnote
22938539,22938539,meta_dom,html_hidden_comment
13921526,13921526,meta_dom,json_ld_meta_injection
21746539,21746539,code_smuggling,code_comment_smuggling
25799020,25799020,table_caption,table_caption_infobox_directive
23577014,23577014,unicode_stealth,unicode_stealth
16494316,16494316,near_query,near_query_placement
7583161,7583161,anchor_hijack,anchor_see_also_hijack
28243325,28243325,IDEM,idem_llm_optimized
14726759,14726759,visual_ocr,visual_ocr_injection
36211049,36211049,querypp,keyword_packing
3866315,3866315,ASC,semantic_cloaking
1225513,1225513,PAT,prompt_attack_template
9095394,9095394,citation_hijack,citation_footnote
16511863,16511863,meta_dom,html_hidden_comment
11415809,11415809,meta_dom,json_ld_meta_injection
3038933,3038933,code_smuggling,code_comment_smuggling
25858295,25858295,table_caption,table_caption_infobox_directive
7299977,7299977,unicode_stealth,unicode_stealth
40632104,40632104,near_query,near_query_placement
34747208,34747208,anchor_hijack,anchor_see_also_hijack
30507607,30507607,IDEM,idem_llm_optimized
19878070,19878070,visual_ocr,visual_ocr_injection
3866315,3866315,querypp,keyword_packing
6947286,6947286,ASC,semantic_cloaking
9460704,9460704,PAT,prompt_attack_template
26000593,26000593,citation_hijack,citation_footnote
857189,857189,meta_dom,html_hidden_comment
6327940,6327940,meta_dom,json_ld_meta_injection
13760557,13760557,code_smuggling,code_comment_smuggling
1669173,1669173,table_caption,table_caption_infobox_directive
57121667,57121667,unicode_stealth,unicode_stealth
32463364,32463364,near_query,near_query_placement
26230669,26230669,anchor_hijack,anchor_see_also_hijack
8903143,8903143,IDEM,idem_llm_optimized
3572885,3572885,visual_ocr,visual_ocr_injection
21626639,21626639,querypp,keyword_packing
45920278,45920278,ASC,semantic_cloaking
169264,169264,PAT,prompt_attack_template
19994006,19994006,citation_hijack,citation_footnote
29387024,29387024,meta_dom,html_hidden_comment
1791714,1791714,meta_dom,json_ld_meta_injection
26495128,26495128,code_smuggling,code_comment_smuggling
6417632,6417632,table_caption,table_caption_infobox_directive
9272598,9272598,unicode_stealth,unicode_stealth
16119973,16119973,near_query,near_query_placement
8654183,8654183,anchor_hijack,anchor_see_also_hijack
84379954,84379954,IDEM,idem_llm_optimized
31543713,31543713,visual_ocr,visual_ocr_injection
752423,752423,querypp,keyword_packing
31942055,31942055,ASC,semantic_cloaking
4246523,4246523,PAT,prompt_attack_template
44409062,44409062,citation_hijack,citation_footnote
17208742,17208742,meta_dom,html_hidden_comment
1848452,1848452,meta_dom,json_ld_meta_injection
2506153,2506153,code_smuggling,code_comment_smuggling
32721137,32721137,table_caption,table_caption_infobox_directive
2831620,2831620,unicode_stealth,unicode_stealth
26199970,26199970,near_query,near_query_placement
12991445,12991445,anchor_hijack,anchor_see_also_hijack
33920995,33920995,IDEM,idem_llm_optimized
46565020,46565020,visual_ocr,visual_ocr_injection
8037453,8037453,querypp,keyword_packing
371289,371289,ASC,semantic_cloaking
2526777,2526777,PAT,prompt_attack_template
17195001,17195001,citation_hijack,citation_footnote
25413327,25413327,meta_dom,html_hidden_comment
13794374,13794374,meta_dom,json_ld_meta_injection
7145763,7145763,code_smuggling,code_comment_smuggling
13949015,13949015,table_caption,table_caption_infobox_directive
24019260,24019260,unicode_stealth,unicode_stealth
39300105,39300105,near_query,near_query_placement
25550665,25550665,anchor_hijack,anchor_see_also_hijack
57762078,57762078,IDEM,idem_llm_optimized
24632480,24632480,visual_ocr,visual_ocr_injection
4389252,4389252,querypp,keyword_packing
36618603,36618603,ASC,semantic_cloaking
13001323,13001323,PAT,prompt_attack_template
5956016,5956016,citation_hijack,citation_footnote
4993011,4993011,meta_dom,html_hidden_comment
20008796,20008796,meta_dom,json_ld_meta_injection
25742130,25742130,code_smuggling,code_comment_smuggling
3878434,3878434,table_caption,table_caption_infobox_directive
6826100,6826100,unicode_stealth,unicode_stealth
42278130,42278130,near_query,near_query_placement
516867,516867,anchor_hijack,anchor_see_also_hijack
6549091,6549091,IDEM,idem_llm_optimized
32250572,32250572,visual_ocr,visual_ocr_injection
20610390,20610390,querypp,keyword_packing
17327939,17327939,ASC,semantic_cloaking
27049238,27049238,PAT,prompt_attack_template
28138927,28138927,citation_hijack,citation_footnote
4910408,4910408,meta_dom,html_hidden_comment
37205759,37205759,meta_dom,json_ld_meta_injection
7317051,7317051,code_smuggling,code_comment_smuggling
18574146,18574146,table_caption,table_caption_infobox_directive
15058155,15058155,unicode_stealth,unicode_stealth
9737083,9737083,near_query,near_query_placement
10482574,10482574,anchor_hijack,anchor_see_also_hijack
2841164,2841164,IDEM,idem_llm_optimized
6751418,6751418,visual_ocr,visual_ocr_injection
6501747,6501747,querypp,keyword_packing
2140513,2140513,ASC,semantic_cloaking
13857083,13857083,PAT,prompt_attack_template
12588500,12588500,citation_hijack,citation_footnote
23577014,23577014,meta_dom,html_hidden_comment
13726379,13726379,meta_dom,json_ld_meta_injection
36355784,36355784,code_smuggling,code_comment_smuggling
9197092,9197092,table_caption,table_caption_infobox_directive
14555750,14555750,unicode_stealth,unicode_stealth
8122346,8122346,near_query,near_query_placement
25263810,25263810,anchor_hijack,anchor_see_also_hijack
26025370,26025370,IDEM,idem_llm_optimized
14192687,14192687,visual_ocr,visual_ocr_injection
29399239,29399239,querypp,keyword_packing
22406695,22406695,ASC,semantic_cloaking
2604063,2604063,PAT,prompt_attack_template
15248287,15248287,citation_hijack,citation_footnote
8690595,8690595,meta_dom,html_hidden_comment
2053540,2053540,meta_dom,json_ld_meta_injection
2682251,2682251,code_smuggling,code_comment_smuggling
11255504,11255504,table_caption,table_caption_infobox_directive
3155374,3155374,unicode_stealth,unicode_stealth
24496245,24496245,near_query,near_query_placement
45920278,45920278,anchor_hijack,anchor_see_also_hijack
18872233,18872233,IDEM,idem_llm_optimized
7198295,7198295,visual_ocr,visual_ocr_injection
8925851,8925851,querypp,keyword_packing
3863543,3863543,ASC,semantic_cloaking
27078065,27078065,PAT,prompt_attack_template
16712164,16712164,citation_hijack,citation_footnote
22495397,22495397,meta_dom,html_hidden_comment
43661837,43661837,meta_dom,json_ld_meta_injection
10534299,10534299,code_smuggling,code_comment_smuggling
31624828,31624828,table_caption,table_caption_infobox_directive
6070278,6070278,unicode_stealth,unicode_stealth
27393799,27393799,near_query,near_query_placement
8995263,8995263,anchor_hijack,anchor_see_also_hijack
3847200,3847200,IDEM,idem_llm_optimized
16488405,16488405,visual_ocr,visual_ocr_injection
7451018,7451018,querypp,keyword_packing
42278130,42278130,ASC,semantic_cloaking
17911973,17911973,PAT,prompt_attack_template
19205326,19205326,citation_hijack,citation_footnote
6251620,6251620,meta_dom,html_hidden_comment
14848619,14848619,meta_dom,json_ld_meta_injection
4474874,4474874,code_smuggling,code_comment_smuggling
18574146,18574146,table_caption,table_caption_infobox_directive
32777637,32777637,unicode_stealth,unicode_stealth
29107180,29107180,near_query,near_query_placement
5912283,5912283,anchor_hijack,anchor_see_also_hijack
2015929,2015929,IDEM,idem_llm_optimized
14768471,14768471,visual_ocr,visual_ocr_injection
3430789,3430789,querypp,keyword_packing
13106686,13106686,ASC,semantic_cloaking
13763195,13763195,PAT,prompt_attack_template
22674621,22674621,citation_hijack,citation_footnote
23639838,23639838,meta_dom,html_hidden_comment
17208742,17208742,meta_dom,json_ld_meta_injection
41120293,41120293,code_smuggling,code_comment_smuggling
12040627,12040627,table_caption,table_caption_infobox_directive
3773719,3773719,unicode_stealth,unicode_stealth
21616324,21616324,near_query,near_query_placement
4421746,4421746,anchor_hijack,anchor_see_also_hijack
17945638,17945638,IDEM,idem_llm_optimized
1834762,1834762,visual_ocr,visual_ocr_injection
14408200,14408200,querypp,keyword_packing
24828165,24828165,ASC,semantic_cloaking
19708993,19708993,PAT,prompt_attack_template
46153874,46153874,citation_hijack,citation_footnote
30297355,30297355,meta_dom,html_hidden_comment
25049067,25049067,meta_dom,json_ld_meta_injection
7643848,7643848,code_smuggling,code_comment_smuggling
12966719,12966719,table_caption,table_caption_infobox_directive
25300664,25300664,unicode_stealth,unicode_stealth
2533768,2533768,near_query,near_query_placement
9226649,9226649,anchor_hijack,anchor_see_also_hijack
25259746,25259746,IDEM,idem_llm_optimized
14205246,14205246,visual_ocr,visual_ocr_injection
44572913,44572913,querypp,keyword_packing
32556431,32556431,ASC,semantic_cloaking
22241778,22241778,PAT,prompt_attack_template
4320424,4320424,citation_hijack,citation_footnote
17821387,17821387,meta_dom,html_hidden_comment
9217800,9217800,meta_dom,json_ld_meta_injection
39084565,39084565,code_smuggling,code_comment_smuggling
11774598,11774598,table_caption,table_caption_infobox_directive
21272977,21272977,unicode_stealth,unicode_stealth
25062868,25062868,near_query,near_query_placement
12662435,12662435,anchor_hijack,anchor_see_also_hijack
13492264,13492264,IDEM,idem_llm_optimized
20457190,20457190,visual_ocr,visual_ocr_injection
3572885,3572885,querypp,keyword_packing
92499,92499,ASC,semantic_cloaking
18429416,18429416,PAT,prompt_attack_template
45457778,45457778,citation_hijack,citation_footnote
29362104,29362104,meta_dom,html_hidden_comment
25175223,25175223,meta_dom,json_ld_meta_injection
36540079,36540079,code_smuggling,code_comment_smuggling
14555750,14555750,table_caption,table_caption_infobox_directive
32697244,32697244,unicode_stealth,unicode_stealth
17876040,17876040,near_query,near_query_placement
23912923,23912923,anchor_hijack,anchor_see_also_hijack
16927286,16927286,IDEM,idem_llm_optimized
20764484,20764484,visual_ocr,visual_ocr_injection
12130067,12130067,querypp,keyword_packing
3210545,3210545,ASC,semantic_cloaking
3701541,3701541,PAT,prompt_attack_template
17917408,17917408,citation_hijack,citation_footnote
45244537,45244537,meta_dom,html_hidden_comment
46346525,46346525,meta_dom,json_ld_meta_injection
39187170,39187170,code_smuggling,code_comment_smuggling
30226988,30226988,table_caption,table_caption_infobox_directive
6407356,6407356,unicode_stealth,unicode_stealth
28419824,28419824,near_query,near_query_placement
3952288,3952288,anchor_hijack,anchor_see_also_hijack
2452989,2452989,IDEM,idem_llm_optimized
25062868,25062868,visual_ocr,visual_ocr_injection
28015516,28015516,querypp,keyword_packing
18557974,18557974,ASC,semantic_cloaking
14479433,14479433,PAT,prompt_attack_template
11244195,11244195,citation_hijack,citation_footnote
13916484,13916484,meta_dom,html_hidden_comment
26025820,26025820,meta_dom,json_ld_meta_injection
15588516,15588516,code_smuggling,code_comment_smuggling
2474731,2474731,table_caption,table_caption_infobox_directive
30714190,30714190,unicode_stealth,unicode_stealth
16319097,16319097,near_query,near_query_placement
5238341,5238341,anchor_hijack,anchor_see_also_hijack
24496245,24496245,IDEM,idem_llm_optimized
10509344,10509344,visual_ocr,visual_ocr_injection
9038803,9038803,querypp,keyword_packing
27711043,27711043,ASC,semantic_cloaking
27134931,27134931,PAT,prompt_attack_template
38502066,38502066,citation_hijack,citation_footnote
14610165,14610165,meta_dom,html_hidden_comment
11951999,11951999,meta_dom,json_ld_meta_injection
516867,516867,code_smuggling,code_comment_smuggling
6054657,6054657,table_caption,table_caption_infobox_directive
12443371,12443371,unicode_stealth,unicode_stealth
12337611,12337611,near_query,near_query_placement
17930286,17930286,anchor_hijack,anchor_see_also_hijack
6431384,6431384,IDEM,idem_llm_optimized
17775228,17775228,visual_ocr,visual_ocr_injection
37628989,37628989,querypp,keyword_packing
3707035,3707035,ASC,semantic_cloaking
45920278,45920278,PAT,prompt_attack_template
24185667,24185667,citation_hijack,citation_footnote
83707680,83707680,meta_dom,html_hidden_comment
4857085,4857085,meta_dom,json_ld_meta_injection
12805683,12805683,code_smuggling,code_comment_smuggling
24494539,24494539,table_caption,table_caption_infobox_directive
8063697,8063697,unicode_stealth,unicode_stealth
27063470,27063470,near_query,near_query_placement
21790313,21790313,anchor_hijack,anchor_see_also_hijack
25416944,25416944,IDEM,idem_llm_optimized
7151961,7151961,visual_ocr,visual_ocr_injection
11335781,11335781,querypp,keyword_packing
22236223,22236223,ASC,semantic_cloaking
38025907,38025907,PAT,prompt_attack_template
13189693,13189693,citation_hijack,citation_footnote
31070360,31070360,meta_dom,html_hidden_comment
6723450,6723450,meta_dom,json_ld_meta_injection
14149065,14149065,code_smuggling,code_comment_smuggling
16705338,16705338,table_caption,table_caption_infobox_directive
46305977,46305977,unicode_stealth,unicode_stealth
4911006,4911006,near_query,near_query_placement
10976596,10976596,anchor_hijack,anchor_see_also_hijack
18639989,18639989,IDEM,idem_llm_optimized
71628189,71628189,visual_ocr,visual_ocr_injection
20155713,20155713,querypp,keyword_packing
2714623,2714623,ASC,semantic_cloaking
34268160,34268160,PAT,prompt_attack_template
21472388,21472388,citation_hijack,citation_footnote
28517384,28517384,meta_dom,html_hidden_comment
26596106,26596106,meta_dom,json_ld_meta_injection
516867,516867,code_smuggling,code_comment_smuggling
3464191,3464191,table_caption,table_caption_infobox_directive
13782317,13782317,unicode_stealth,unicode_stealth
142562844,142562844,near_query,near_query_placement
3174305,3174305,anchor_hijack,anchor_see_also_hijack
2295434,2295434,IDEM,idem_llm_optimized
38811597,38811597,visual_ocr,visual_ocr_injection
10029891,10029891,querypp,keyword_packing
4547102,4547102,ASC,semantic_cloaking
49556906,49556906,PAT,prompt_attack_template
8756719,8756719,citation_hijack,citation_footnote
2701077,2701077,meta_dom,html_hidden_comment
26058927,26058927,meta_dom,json_ld_meta_injection
40367499,40367499,code_smuggling,code_comment_smuggling
26182390,26182390,table_caption,table_caption_infobox_directive
24349430,24349430,unicode_stealth,unicode_stealth
23915841,23915841,near_query,near_query_placement
13791788,13791788,anchor_hijack,anchor_see_also_hijack
10162553,10162553,IDEM,idem_llm_optimized
33118292,33118292,visual_ocr,visual_ocr_injection
30369606,30369606,querypp,keyword_packing
13000926,13000926,ASC,semantic_cloaking
6828370,6828370,PAT,prompt_attack_template
30884033,30884033,citation_hijack,citation_footnote
7492420,7492420,meta_dom,html_hidden_comment
198309074,198309074,meta_dom,json_ld_meta_injection
26058927,26058927,code_smuggling,code_comment_smuggling
10212612,10212612,table_caption,table_caption_infobox_directive
7970974,7970974,unicode_stealth,unicode_stealth
17877537,17877537,near_query,near_query_placement
306311,306311,anchor_hijack,anchor_see_also_hijack
21012916,21012916,IDEM,idem_llm_optimized
15981174,15981174,visual_ocr,visual_ocr_injection
24624992,24624992,querypp,keyword_packing
19878070,19878070,ASC,semantic_cloaking
6415816,6415816,PAT,prompt_attack_template
17691617,17691617,citation_hijack,citation_footnote
6669242,6669242,meta_dom,html_hidden_comment
14060030,14060030,meta_dom,json_ld_meta_injection
8816869,8816869,code_smuggling,code_comment_smuggling
9650982,9650982,table_caption,table_caption_infobox_directive
39391953,39391953,unicode_stealth,unicode_stealth
11784947,11784947,near_query,near_query_placement
40234452,40234452,anchor_hijack,anchor_see_also_hijack
46193478,46193478,IDEM,idem_llm_optimized
23439808,23439808,visual_ocr,visual_ocr_injection
23388442,23388442,querypp,keyword_packing
24770122,24770122,ASC,semantic_cloaking
11360768,11360768,PAT,prompt_attack_template
40949706,40949706,citation_hijack,citation_footnote
26231129,26231129,meta_dom,html_hidden_comment
4388082,4388082,meta_dom,json_ld_meta_injection
21063817,21063817,code_smuggling,code_comment_smuggling
25413327,25413327,table_caption,table_caption_infobox_directive
25251625,25251625,unicode_stealth,unicode_stealth
1836154,1836154,near_query,near_query_placement
23665162,23665162,anchor_hijack,anchor_see_also_hijack
23577014,23577014,IDEM,idem_llm_optimized
38745690,38745690,visual_ocr,visual_ocr_injection
30122260,30122260,querypp,keyword_packing
15655418,15655418,ASC,semantic_cloaking
14874811,14874811,PAT,prompt_attack_template
3437084,3437084,citation_hijack,citation_footnote
10669939,10669939,meta_dom,html_hidden_comment
34034749,34034749,meta_dom,json_ld_meta_injection
12014458,12014458,code_smuggling,code_comment_smuggling
43880096,43880096,table_caption,table_caption_infobox_directive
26456326,26456326,unicode_stealth,unicode_stealth
18199839,18199839,near_query,near_query_placement
118568,118568,anchor_hijack,anchor_see_also_hijack
4270992,4270992,IDEM,idem_llm_optimized
2853685,2853685,visual_ocr,visual_ocr_injection
3912660,3912660,querypp,keyword_packing
34066665,34066665,ASC,semantic_cloaking
28138927,28138927,PAT,prompt_attack_template
24828165,24828165,citation_hijack,citation_footnote
14865329,14865329,meta_dom,html_hidden_comment
33720691,33720691,meta_dom,json_ld_meta_injection
1373287,1373287,code_smuggling,code_comment_smuggling
28783084,28783084,table_caption,table_caption_infobox_directive
23783727,23783727,unicode_stealth,unicode_stealth
26231129,26231129,near_query,near_query_placement
14482051,14482051,anchor_hijack,anchor_see_also_hijack
13921783,13921783,IDEM,idem_llm_optimized
26058927,26058927,visual_ocr,visual_ocr_injection
26672703,26672703,querypp,keyword_packing
35811036,35811036,ASC,semantic_cloaking
28845338,28845338,PAT,prompt_attack_template
14711483,14711483,citation_hijack,citation_footnote
4506702,4506702,meta_dom,html_hidden_comment
2492146,2492146,meta_dom,json_ld_meta_injection
712320,712320,code_smuggling,code_comment_smuggling
14340571,14340571,table_caption,table_caption_infobox_directive
7621534,7621534,unicode_stealth,unicode_stealth
27712433,27712433,near_query,near_query_placement
4270992,4270992,anchor_hijack,anchor_see_also_hijack
3621011,3621011,IDEM,idem_llm_optimized
9317504,9317504,visual_ocr,visual_ocr_injection
43855756,43855756,querypp,keyword_packing
24276304,24276304,ASC,semantic_cloaking
10530014,10530014,PAT,prompt_attack_template
32322418,32322418,citation_hijack,citation_footnote
16167746,16167746,meta_dom,html_hidden_comment
3845894,3845894,meta_dom,json_ld_meta_injection
4320111,4320111,code_smuggling,code_comment_smuggling
16389141,16389141,table_caption,table_caption_infobox_directive
1797622,1797622,unicode_stealth,unicode_stealth
36962270,36962270,near_query,near_query_placement
12885341,12885341,anchor_hijack,anchor_see_also_hijack
15548965,15548965,IDEM,idem_llm_optimized
8428837,8428837,visual_ocr,visual_ocr_injection
14340571,14340571,querypp,keyword_packing
9244474,9244474,ASC,semantic_cloaking
74137632,74137632,PAT,prompt_attack_template
84580585,84580585,citation_hijack,citation_footnote
